,dias_cursado,semestre_año,nota_final_materia,fecha_mesa_epoch,nombre_examen,nota_parcial,id_tarea,nombre_de_la_tarea,fecha_creacion_tarea,vencimiento_tarea,apertura_tarea,cierre_tarea,puntos_posibles,nombre_entrega,id_entrega_tarea,puntaje,formato_entrega,fecha_entrega,fecha_correccion,fecha_creacion_tarea,id_usuario,id_curso,nombre_curso,legajo
6672,31,1-2022,8.0,1650240000.0,PRIMER PARCIAL(20),4.0,196656.0,Actividad Práctica Integradora 2 [API2],1645735504.0,1650250799.0,1647831600.0,1650250799.0,100.0,Actividad Práctica Integradora 3 [API3],ee23ec3f-e6d4-4619-a7fc-893be97e185f,85.7,external_tool,1650240609.0,1650240949.0,1659392827.0,598e46d0-4067-4017-85bd-d50240ff5dd7,bdae63a6-3624-41ee-a33f-24aa327a5a58,Re-engineered holistic structure,461884AEA
6673,31,1-2022,8.0,1650240000.0,PRIMER PARCIAL(20),4.0,196656.0,Actividad Práctica Integradora 2 [API2],1645735504.0,1650250799.0,1647831600.0,1650250799.0,100.0,Actividad Práctica Integradora 4 [API4],f9ac269c-a6d3-44e0-bb26-94f9d8055079,100.0,external_tool,1650241038.0,1650241230.0,1659392827.0,598e46d0-4067-4017-85bd-d50240ff5dd7,bdae63a6-3624-41ee-a33f-24aa327a5a58,Re-engineered holistic structure,461884AEA
6674,31,1-2022,8.0,1650240000.0,PRIMER PARCIAL(20),4.0,196656.0,Actividad Práctica Integradora 2 [API2],1645735504.0,1650250799.0,1647831600.0,1650250799.0,100.0,Actividad Práctica Integradora 2 [API2],d552568e-12a3-4179-997d-6694470cf4c2,100.0,external_tool,1650154834.0,1650240517.0,1659392827.0,598e46d0-4067-4017-85bd-d50240ff5dd7,bdae63a6-3624-41ee-a33f-24aa327a5a58,Re-engineered holistic structure,461884AEA
7707,21,1-2022,7.0,1650412800.0,PRIMER PARCIAL(20),7.0,195070.0,Trabajo Práctico 1 [TP1],1645728293.0,1650337199.0,1647831600.0,1650337199.0,100.0,Trabajo Práctico 1 [TP1],920cb6a7-9862-491a-885c-e93066fee2a5,70.0,online_upload,1650319838.0,1650732528.0,1659392827.0,01103370-3046-4bc0-a8f8-85858ec0ec88,ef072dc2-cf38-4330-a10b-1786cd20da44,Public-key empowering attitude,532479OLL
8221,20,1-2022,8.0,1649808000.0,PRIMER PARCIAL(20),4.0,205912.0,Trabajo Práctico 1 [TP1],1647456301.0,1649732399.0,1647831600.0,1649732399.0,100.0,Actividad Práctica Integradora 2 [API2],11b0631d-33fb-4cc5-b297-8ac478d2eeb3,100.0,external_tool,1649788539.0,1649789562.0,1659392827.0,caab837b-11cd-4a66-91eb-5db8b19aad50,8b2677ef-022b-4c7c-9d4e-afca3d7b51b9,Customer-focused multi-state open architecture,978968DKJ
8743,19,1-2022,10.0,1649635200.0,PRIMER PARCIAL(20),10.0,205863.0,Actividad Práctica Integradora 1 [API1],1647456299.0,1649645999.0,1647831600.0,1649645999.0,100.0,Trabajo Práctico 1 [TP1],c1ec4a84-b9da-402c-bff3-f16e482b4d90,100.0,online_upload,1649643930.0,1649777951.0,1659392827.0,fc1d7cca-aba8-4222-987f-afca8b04e538,bbb2980c-79aa-4df3-9f8d-9ea8b1198112,Phased 4thgeneration workforce,944115CWD
10137,57,1-2022,4.0,1656979200.0,RECUPERATORIO PRIMER PARCIAL(20),6.0,194554.0,Trabajo Práctico 1 [TP1],1645039481.0,1656989999.0,1647831600.0,1656989999.0,100.0,Trabajo Práctico 1 [TP1],c1017cb6-832e-4f8a-8bfa-4cc1dfd7ffa0,76.6666666666667,basic_lti_launch,1656895795.0,1656895803.0,1659392827.0,120199e7-7e5e-4415-9ba6-d7635bcb9ef3,cb84e191-378f-43eb-a647-eb72eb5c7574,Horizontal multi-tasking productivity,724054QKZ
10138,57,1-2022,4.0,1656979200.0,RECUPERATORIO PRIMER PARCIAL(20),6.0,194554.0,Trabajo Práctico 1 [TP1],1645039481.0,1656989999.0,1647831600.0,1656989999.0,100.0,Trabajo Práctico 2 [TP2],3b8ad4aa-cb3a-4591-a29f-f3ca4aae2e85,20.0,basic_lti_launch,1656989999.0,1657015880.0,1659392827.0,120199e7-7e5e-4415-9ba6-d7635bcb9ef3,cb84e191-378f-43eb-a647-eb72eb5c7574,Horizontal multi-tasking productivity,724054QKZ
10139,57,1-2022,4.0,1656979200.0,RECUPERATORIO PRIMER PARCIAL(20),6.0,194554.0,Trabajo Práctico 1 [TP1],1645039481.0,1656989999.0,1647831600.0,1656989999.0,100.0,Trabajo Práctico 4 [TP4],021dd3d3-c553-4aff-ab0d-25628b3005a6,100.0,basic_lti_launch,1656985772.0,1656985775.0,1659392827.0,120199e7-7e5e-4415-9ba6-d7635bcb9ef3,cb84e191-378f-43eb-a647-eb72eb5c7574,Horizontal multi-tasking productivity,724054QKZ
10140,57,1-2022,4.0,1656979200.0,RECUPERATORIO PRIMER PARCIAL(20),6.0,194554.0,Trabajo Práctico 1 [TP1],1645039481.0,1656989999.0,1647831600.0,1656989999.0,100.0,Trabajo Práctico 3 [TP3],f1d28914-9ff5-41ff-be0a-66e0fc851272,83.3333333333333,basic_lti_launch,1656897005.0,1656897007.0,1659392827.0,120199e7-7e5e-4415-9ba6-d7635bcb9ef3,cb84e191-378f-43eb-a647-eb72eb5c7574,Horizontal multi-tasking productivity,724054QKZ
